,nazev_skoly,mc,id,poskytovani_vzdelani,volna_mista,deti_ze_spadove_oblasti,podanych_zadosti,prijatych_zaku,neprijatych_zaku,individualni_dochazka,prerusenych_rizeni
0,"Masarykova základní škola a Mateřská škola Brno, Zemědělská 29, příspěvková organizace",sever,0,Zemědělská 29,100,23,88,3,0,3,0
1,"Mateřská škola  NA OSADĚ, Brno, Koperníkova 6",zidenice,1,Koperníkova 6,101,57,116,1,0,1,0
2,"Mateřská škola ""Na kopečku u zvonečku "", Brno, Horní 17, příspěvková organizace",stred,2,Horní 17,102,12,61,0,0,0,0
3,"Mateřská škola Adélka, Brno, U Velké ceny 8, příspěvková organizace",kohoutovice,3,U Velké ceny 8,103,29,70,0,0,0,0
4,"Mateřská škola Beruška, Brno, Plovdivská 6,příspěvková organizace",zabovresky,4,Plovdivská 6,104,36,128,0,0,0,0
5,"Mateřská škola Bořetická 7, Brno, příspěvková organizace",vinohrady,5,Bořetická 7,105,31,86,0,0,0,0
6,"Mateřská škola Brno, Absolonova 20a, příspěvková organizace",komin,6,Absolonova 20a,106,31,68,0,0,0,0
7,"Mateřská škola Brno, Amerlingova 4, příspěvková organizace",bohunice,7,Amerlingova 4,107,43,75,0,0,0,0
8,"Mateřská škola Brno, Bellova 2, příspěvková organizace",kohoutovice,8,Bellova 2,108,17,74,0,0,0,0
9,"Mateřská škola Brno, Bieblova 16, příspěvková organizace",sever,9,Bieblova 16,109,57,99,0,0,0,0
10,"Mateřská škola Brno, Bílého 24, příspěvková organizace",stred,10,Bílého 24,110,24,53,0,0,0,0
11,"Mateřská škola Brno, Brechtova 6, příspěvková organizace",sever,11,Brechtova 6,111,39,49,0,0,0,0
12,"Mateřská škola Brno, Cihelní 1a, příspěvková organizace",malomerice,12,Cihelní 1a/560,112,48,66,0,0,0,0
13,"Mateřská škola Brno, Dubová 2, příspěvková organizace",jundrov,13,Dubová 2,113,55,57,0,0,0,0
14,"Mateřská škola Brno, Francouzská 50, příspěvková organizace",stred,14,Francouzská 50,114,22,21,0,0,0,0
15,"Mateřská škola Brno, Hatě 19, příspěvková organizace",ivanovice,15,"Hatě 19, 621 00 Brno",115,22,34,0,0,0,0
16,"Mateřská škola Brno, Hněvkovského 62, příspěvková organizace",jih,16,Hněvkovského 62,116,14,68,1,0,0,0
17,"Mateřská škola Brno, Holásecká 11, příspěvková organizace",turany,17,"Holásecká 11
Zapletalova 67",117,33,66,3,0,3,0
18,"Mateřská škola Brno, Hudcova 435/47, příspěvková organizace",medlanky,18,"Hudcova 435/47
V Újezdech  5",118,65,103,0,0,0,0
19,"Mateřská škola Brno, Jihomoravské nám. 5, příspěvková organizace",slatina,19,"Jihomoravské náměstí 5
Jihomoravské náměstí 3",119,33,111,0,0,0,0
20,"Mateřská škola Brno, Jugoslávská 70, příspěvková organizace",sever,20,Jugoslávská 70/627,120,28,96,7,0,0,0
21,"Mateřská škola Brno, Kamenná 21, příspěvková organizace",stred,21,Kamenná 21,121,32,87,0,0,0,0
22,"Mateřská škola Brno, Kárníkova 4, příspěvková organizace",reckovice,22,Kárníkova 4,122,25,69,0,0,0,0
23,"Mateřská škola Brno, Klášterského 14, příspěvková organizace",jih,23,Klášterského 14,123,23,61,0,0,0,0
24,"Mateřská škola Brno, Kohoutova 6, příspěvková organizace",sever,24,Kohoutova 6,124,19,6,0,0,0,0
25,"Mateřská škola Brno, Křenová 76a, příspěvková organizace",stred,25,Křenová 76a,125,9,30,0,0,0,0
26,"Mateřská škola Brno, Kšírova 3, příspěvková organizace.",jih,26,Kšírova 3,126,3,39,0,0,0,0
27,"Mateřská škola Brno, Libušina třída 29, příspěvková organizace",kohoutovice,27,Libušina třída 29,127,27,54,0,0,0,0
28,"Mateřská škola Brno, Marie Majerové 14, příspěvková organizace",sever,28,Marie Majerové 14/792,128,9,69,0,0,0,0
29,"Mateřská škola Brno, Měřičkova 46, příspěvková organizace",reckovice,29,Měřičkova 46,129,49,104,0,0,0,0
30,"Mateřská škola Brno, Nádvorní 3, příspěvková organizace",stred,30,Nádvorní 3/704,130,32,99,0,0,0,0
31,"Mateřská škola Brno, nám.SNP 25a, příspěvková organizace",sever,31,nám.SNP 25a,131,17,77,0,0,0,0
32,"Mateřská škola Brno, Novoměstská 1, příspěvková organizace",reckovice,32,Novoměstská 1,132,25,48,0,0,0,0
33,"Mateřská škola Brno, Proškovo nám. 6/150, příspěvková organizace",malomerice,33,Proškovo nám. 6,133,29,63,0,0,0,0
34,"Mateřská škola Brno, Pšeník 18, příspěvková organizace",stred,34,Pšeník 18,134,14,35,0,0,0,0
35,"Mateřská škola Brno, Řezáčova 3, příspěvková organizace",komin,35,Řezáčova 3,135,30,59,1,0,0,0
36,"Mateřská škola Brno, Síčka 1a, příspěvková organizace",sever,36,"Síčka 1a
Dohnalova 63",136,48,81,0,0,0,0
37,"Mateřská škola Brno, Skořepka 5, příspěvková organizace",střed,37,Skořepka 5/368,137,15,39,0,0,0,0
38,"Mateřská škola Brno, Slavíčkova 1, příspěvková organizace",sever,38,Slavíčkova 1,138,23,80,0,0,0,0
39,"Mateřská škola Brno, Slunná 25, příspěvková organizace",jih,39,Slunná 25,139,7,32,2,0,1,0
40,"Mateřská škola Brno, Soukenická 8, PO",stred,40,Soukenická 8,140,14,52,0,0,0,0
41,"Mateřská škola Brno, Škrétova 2, příspěvková organizace",reckovice,41,Škrétova 2,141,27,53,0,0,0,0
42,"Mateřská škola Brno, Šrámkova 14, příspěvková organizace",sever,42,"Šrámkova 14, 638 00 Brno",142,15,73,0,0,0,0
