dite,skolka,poradi
0,34,1
0,4,2
0,95,3
0,109,4
0,102,5
0,36,6
0,128,7
0,63,8
0,88,9
0,131,10
0,118,11
0,6,12
0,113,13
0,0,14
0,91,15
0,28,16
0,71,17
0,57,18
0,64,19
0,134,20
0,15,21
0,21,22
0,132,23
0,103,24
0,13,25
0,79,26
0,87,27
0,93,28
0,19,29
0,135,30
0,121,31
0,60,32
0,43,33
0,68,34
0,58,35
0,72,36
0,108,37
0,23,38
0,7,39
0,22,40
0,86,41
0,98,42
0,85,43
0,37,44
0,8,45
0,129,46
0,89,47
0,1,48
0,46,49
0,127,50
0,110,51
0,94,52
0,51,53
0,107,54
0,119,55
0,116,56
0,11,57
0,56,58
0,92,59
0,99,60
0,61,61
0,53,62
0,97,63
0,120,64
0,80,65
0,39,66
0,82,67
0,30,68
0,2,69
0,70,70
0,48,71
0,66,72
0,122,73
0,29,74
0,130,75
0,123,76
0,10,77
0,112,78
0,117,79
0,41,80
0,52,81
0,26,82
0,9,83
0,45,84
0,42,85
0,49,86
1,33,1
1,100,2
1,34,3
1,50,4
1,4,5
1,14,6
1,36,7
1,128,8
1,63,9
1,88,10
1,90,11
1,131,12
1,118,13
1,6,14
1,67,15
1,113,16
1,18,17
1,0,18
1,91,19
1,71,20
1,114,21
1,57,22
1,64,23
1,69,24
1,15,25
1,21,26
1,132,27
1,106,28
1,103,29
1,83,30
1,13,31
1,79,32
1,87,33
1,93,34
1,43,35
1,75,36
1,68,37
1,58,38
1,65,39
1,72,40
1,23,41
1,7,42
1,98,43
1,31,44
1,62,45
1,85,46
1,37,47
1,89,48
1,1,49
1,46,50
1,127,51
1,110,52
1,94,53
1,51,54
1,107,55
1,25,56
1,133,57
1,54,58
1,104,59
1,116,60
1,11,61
1,111,62
1,56,63
1,92,64
1,125,65
1,99,66
1,61,67
1,84,68
1,97,69
1,53,70
1,120,71
1,24,72
1,39,73
1,82,74
1,27,75
1,74,76
1,48,77
1,66,78
1,35,79
1,101,80
1,124,81
1,122,82
1,10,83
1,12,84
1,78,85
1,112,86
1,117,87
1,41,88
1,136,89
1,9,90
1,45,91
2,33,1
2,100,2
2,34,3
2,50,4
2,95,5
2,81,6
2,109,7
2,14,8
2,102,9
2,36,10
2,63,11
2,6,12
2,67,13
2,18,14
2,105,15
2,28,16
2,91,17
2,71,18
2,114,19
2,15,20
2,21,21
2,132,22
2,106,23
2,103,24
2,13,25
2,79,26
2,87,27
2,93,28
2,135,29
2,121,30
2,43,31
2,75,32
2,59,33
2,73,34
2,68,35
2,58,36
2,65,37
2,72,38
2,108,39
2,23,40
2,7,41
2,22,42
2,86,43
2,98,44
2,31,45
2,37,46
2,8,47
2,129,48
2,89,49
2,1,50
2,46,51
2,127,52
2,51,53
2,25,54
2,32,55
2,119,56
2,133,57
2,54,58
2,104,59
2,11,60
2,111,61
2,96,62
2,92,63
2,125,64
2,99,65
2,61,66
2,97,67
2,80,68
2,82,69
2,39,70
2,2,71
2,27,72
2,48,73
2,66,74
2,35,75
2,124,76
2,123,77
2,78,78
2,10,79
2,117,80
2,41,81
2,126,82
2,52,83
2,26,84
2,47,85
2,5,86
2,49,87
2,76,88
2,3,89
2,16,90
3,74,1
3,33,2
3,70,3
3,48,4
3,100,5
3,34,6
3,66,7
3,101,8
3,50,9
3,19,10
3,95,11
3,124,12
3,135,13
3,107,14
3,44,15
3,102,16
3,122,17
3,36,18
3,29,19
3,128,20
3,25,21
3,32,22
3,43,23
3,119,24
3,75,25
3,59,26
3,133,27
3,68,28
3,40,29
3,58,30
3,10,31
3,123,32
3,78,33
3,12,34
3,115,35
3,72,36
3,90,37
3,54,38
3,6,39
3,108,40
3,112,41
3,18,42
3,117,43
3,26,44
3,126,45
3,52,46
3,41,47
3,23,48
3,38,49
3,96,50
3,105,51
3,92,52
3,71,53
3,99,54
3,61,55
3,84,56
3,45,57
3,86,58
3,64,59
3,134,60
3,31,61
3,85,62
3,80,63
3,69,64
3,13,65
3,132,66
3,89,67
3,39,68
3,30,69
3,82,70
3,46,71
3,79,72
3,87,73
3,93,74
3,17,75
4,70,1
4,48,2
4,100,3
4,66,4
4,19,5
4,95,6
4,135,7
4,20,8
4,14,9
4,102,10
4,36,11
4,32,12
4,133,13
4,73,14
4,40,15
4,58,16
4,78,17
4,65,18
4,131,19
4,6,20
4,116,21
4,104,22
4,11,23
4,113,24
4,77,25
4,18,26
4,136,27
4,111,28
4,126,29
4,23,30
4,91,31
4,56,32
4,125,33
4,71,34
4,9,35
4,47,36
4,61,37
4,53,38
4,97,39
4,98,40
4,5,41
4,31,42
4,134,43
4,85,44
4,37,45
4,8,46
4,21,47
4,129,48
4,106,49
4,49,50
4,76,51
4,79,52
4,2,53
4,93,54
4,27,55
5,74,1
5,34,2
5,48,3
5,110,4
5,35,5
5,4,6
5,95,7
5,135,8
5,81,9
5,14,10
5,51,11
5,44,12
5,122,13
5,36,14
5,29,15
5,128,16
5,43,17
5,119,18
5,73,19
5,68,20
5,10,21
5,88,22
5,65,23
5,72,24
5,90,25
5,131,26
5,54,27
5,116,28
5,11,29
5,77,30
5,117,31
5,136,32
5,38,33
5,111,34
5,52,35
5,126,36
5,91,37
5,41,38
5,56,39
5,105,40
5,125,41
5,99,42
5,22,43
5,61,44
5,45,45
5,114,46
5,57,47
5,86,48
5,64,49
5,120,50
5,5,51
5,31,52
5,42,53
5,80,54
5,13,55
5,21,56
5,37,57
5,24,58
5,106,59
5,103,60
5,83,61
5,39,62
5,76,63
5,87,64
5,2,65
5,16,66
5,17,67
6,11,1
6,100,2
6,111,3
6,43,4
6,42,5
6,23,6
6,59,7
6,21,8
6,132,9
6,124,10
6,115,11
6,45,12
6,83,13
6,51,14
6,120,15
6,36,16
6,127,17
7,70,1
7,100,2
7,66,3
7,4,4
7,20,5
7,109,6
7,51,7
7,36,8
7,32,9
7,63,10
7,133,11
7,40,12
7,58,13
7,10,14
7,115,15
7,117,16
7,41,17
7,38,18
7,126,19
7,111,20
7,136,21
7,7,22
7,22,23
7,53,24
7,64,25
7,134,26
7,31,27
7,69,28
7,21,29
7,37,30
7,15,31
7,132,32
7,103,33
7,46,34
7,76,35
7,2,36
8,74,1
8,34,2
8,70,3
8,100,4
8,33,5
8,35,6
8,50,7
8,19,8
8,17,9
8,95,10
8,94,11
8,81,12
8,20,13
8,44,14
8,102,15
8,122,16
8,36,17
8,60,18
8,127,19
8,43,20
8,75,21
8,73,22
8,130,23
8,68,24
8,58,25
8,40,26
8,12,27
8,65,28
8,90,29
8,118,30
8,6,31
8,104,32
8,108,33
8,67,34
8,112,35
8,77,36
8,41,37
8,38,38
8,111,39
8,0,40
8,23,41
8,91,42
8,126,43
8,105,44
8,92,45
8,52,46
8,71,47
8,22,48
8,47,49
8,84,50
8,114,51
8,97,52
8,98,53
8,86,54
8,53,55
8,5,56
8,85,57
8,80,58
8,13,59
8,21,60
8,15,61
8,24,62
8,106,63
8,103,64
8,1,65
8,83,66
8,30,67
8,76,68
8,49,69
8,79,70
8,87,71
8,2,72
8,16,73
8,27,74
9,33,1
9,50,2
9,124,3
9,81,4
9,135,5
9,109,6
9,14,7
9,107,8
9,121,9
9,29,10
9,127,11
9,25,12
9,119,13
9,43,14
9,59,15
9,123,16
9,78,17
9,10,18
9,131,19
9,108,20
9,113,21
9,18,22
9,38,23
9,7,24
9,47,25
9,61,26
9,84,27
9,86,28
9,120,29
9,31,30
9,62,31
9,42,32
9,15,33
9,106,34
9,103,35
9,1,36
9,13,37
9,79,38
9,3,39
9,27,40
10,34,1
10,100,2
10,50,3
10,95,4
10,81,5
10,109,6
10,14,7
10,102,8
10,128,9
10,63,10
10,88,11
10,115,12
10,131,13
10,6,14
10,18,15
10,38,16
10,0,17
10,105,18
10,71,19
10,114,20
10,57,21
10,134,22
10,15,23
10,103,24
10,43,25
10,59,26
10,73,27
10,68,28
10,65,29
10,72,30
10,23,31
10,7,32
10,22,33
10,86,34
10,98,35
10,31,36
10,62,37
10,37,38
10,8,39
10,129,40
10,89,41
10,1,42
10,46,43
10,127,44
10,110,45
10,94,46
10,51,47
10,107,48
10,44,49
10,25,50
10,32,51
10,133,52
10,116,53
10,11,54
10,111,55
10,96,56
10,56,57
10,125,58
10,61,59
10,84,60
10,53,61
10,30,62
10,2,63
10,27,64
10,70,65
10,48,66
10,122,67
10,29,68
10,40,69
10,123,70
10,78,71
10,112,72
10,41,73
10,52,74
10,126,75
10,26,76
10,136,77
10,9,78
10,45,79
10,5,80
10,49,81
10,16,82
11,34,1
11,48,2
11,101,3
11,107,4
11,36,5
11,29,6
11,75,7
11,68,8
11,58,9
11,116,10
11,111,11
11,96,12
11,56,13
11,92,14
11,28,15
11,57,16
11,120,17
11,31,18
11,80,19
11,24,20
11,76,21
11,79,22
11,16,23
11,17,24
12,33,1
12,34,2
12,50,3
12,95,4
12,81,5
12,109,6
12,36,7
12,63,8
12,88,9
12,131,10
12,90,11
12,118,12
12,6,13
12,67,14
12,113,15
12,71,16
12,114,17
12,57,18
12,134,19
12,69,20
12,21,21
12,132,22
12,106,23
12,103,24
12,83,25
12,87,26
12,93,27
12,121,28
12,58,29
12,65,30
12,108,31
12,23,32
12,22,33
12,98,34
12,31,35
12,62,36
12,37,37
12,8,38
12,129,39
12,89,40
12,1,41
12,127,42
12,110,43
12,94,44
12,20,45
12,51,46
12,44,47
12,32,48
12,119,49
12,133,50
12,54,51
12,104,52
12,77,53
12,111,54
12,96,55
12,56,56
12,99,57
12,61,58
12,120,59
12,82,60
12,30,61
12,2,62
12,27,63
12,74,64
12,70,65
12,66,66
12,35,67
12,124,68
12,122,69
12,130,70
12,40,71
12,78,72
12,117,73
12,136,74
12,126,75
12,41,76
12,26,77
12,52,78
12,47,79
12,42,80
12,76,81
12,3,82
13,48,1
13,133,2
13,130,3
13,123,4
13,58,5
13,10,6
13,88,7
13,116,8
13,108,9
13,11,10
13,117,11
13,126,12
13,111,13
13,92,14
13,7,15
13,71,16
13,86,17
13,98,18
13,64,19
13,5,20
13,80,21
13,69,22
13,106,23
13,1,24
13,3,25
13,2,26
14,33,1
14,100,2
14,34,3
14,66,4
14,19,5
14,17,6
14,95,7
14,94,8
14,14,9
14,63,10
14,130,11
14,40,12
14,12,13
14,131,14
14,104,15
14,112,16
14,55,17
14,105,18
14,56,19
14,7,20
14,71,21
14,57,22
14,86,23
14,97,24
14,64,25
