id_dite,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136
0,2332.14,2332.14,2582.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2582.14,2332.14,2332.14,2332.14,2582.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2582.14,2332.14,2332.14,2332.14,2582.14,2332.14,2332.14,2332.14,2332.14,2582.14,2332.14,2332.14,2332.14,2582.14,2332.14,2332.14,2332.14,2332.14,2332.14,2582.14,2332.14,2332.14,2332.14,2332.14,2332.14,2582.14,2332.14,2582.14,2332.14,2582.14,2332.14,2332.14,2582.14,2582.14,2582.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,3082.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2582.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2582.14,2332.14,2332.14,2332.14,2582.14,2582.14,2332.14,2332.14,2582.14,2582.14,2332.14,2332.14,2582.14,2582.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2582.14,2332.14,2332.14,3092.14,3092.14
0,2332.14,2332.14,2582.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2582.14,2332.14,2332.14,2332.14,2582.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2582.14,2332.14,2332.14,2332.14,2582.14,2332.14,2332.14,2332.14,2332.14,2582.14,2332.14,2332.14,2332.14,2582.14,2332.14,2332.14,2332.14,2332.14,2332.14,2582.14,2332.14,2332.14,2332.14,2332.14,2332.14,2582.14,2332.14,2582.14,2332.14,2582.14,2332.14,2332.14,2582.14,2582.14,2582.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,3082.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2582.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2582.14,2332.14,2332.14,2332.14,2582.14,2582.14,2332.14,2332.14,2582.14,2582.14,2332.14,2332.14,2582.14,2582.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2332.14,2582.14,2332.14,2332.14,3092.14,3092.14
1,2373.82,2623.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,3123.82,2373.82,2373.82,2373.82,2373.82,2373.82,2623.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2623.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2623.82,2373.82,2373.82,2623.82,2373.82,2623.82,2373.82,2373.82,2373.82,2373.82,2623.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,2373.82,3133.82,3133.82
2,2290.0,2290.0,2540.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2540.0,2290.0,2290.0,2290.0,2540.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2540.0,2290.0,2290.0,2290.0,2540.0,2290.0,2290.0,2290.0,2290.0,2540.0,2290.0,2290.0,2290.0,2540.0,2290.0,2290.0,2290.0,2290.0,2290.0,2540.0,2290.0,2290.0,2290.0,2290.0,2290.0,2540.0,2290.0,2540.0,2290.0,2540.0,2290.0,2290.0,2540.0,3040.0,2540.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2540.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2540.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2540.0,2290.0,2290.0,2290.0,2540.0,2540.0,2290.0,2290.0,2540.0,2540.0,2290.0,2290.0,2540.0,2540.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2540.0,2290.0,2290.0,3050.0,3050.0
3,254.66,254.66,504.66,254.66,254.66,254.66,254.66,254.66,254.66,254.66,504.66,254.66,254.66,254.66,504.66,254.66,254.66,254.66,254.66,254.66,254.66,504.66,254.66,254.66,254.66,504.66,254.66,254.66,254.66,254.66,504.66,254.66,254.66,254.66,504.66,254.66,254.66,254.66,254.66,254.66,504.66,254.66,254.66,254.66,254.66,254.66,504.66,254.66,504.66,254.66,504.66,254.66,254.66,504.66,504.66,504.66,254.66,254.66,254.66,254.66,254.66,254.66,254.66,254.66,254.66,254.66,254.66,504.66,254.66,254.66,254.66,254.66,254.66,254.66,254.66,254.66,254.66,254.66,254.66,254.66,254.66,254.66,504.66,254.66,254.66,254.66,254.66,254.66,254.66,254.66,254.66,254.66,254.66,254.66,254.66,254.66,254.66,254.66,254.66,254.66,254.66,254.66,254.66,254.66,254.66,254.66,254.66,254.66,254.66,254.66,254.66,504.66,254.66,254.66,254.66,504.66,504.66,254.66,254.66,504.66,504.66,254.66,254.66,754.66,504.66,254.66,254.66,254.66,254.66,254.66,254.66,254.66,504.66,254.66,254.66,1014.66,1014.66
4,2660.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2660.9,2410.9,2660.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2660.9,2410.9,2410.9,2410.9,2660.9,2410.9,2410.9,2410.9,2660.9,2410.9,2410.9,2660.9,2410.9,2410.9,2410.9,2410.9,2910.9,2410.9,2660.9,2410.9,2410.9,2410.9,2660.9,2410.9,2410.9,2660.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2660.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2660.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2660.9,2660.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2410.9,2660.9,3170.9,3170.9
5,2334.72,2334.72,2334.72,2584.72,2334.72,2334.72,2334.72,2334.72,3084.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2584.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2584.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,2334.72,3094.72,3094.72
6,2294.76,2294.76,2544.76,2294.76,2294.76,2294.76,2294.76,2294.76,2294.76,2294.76,2544.76,2294.76,2294.76,2294.76,2544.76,2294.76,2294.76,2294.76,2294.76,2294.76,2294.76,2544.76,2294.76,2294.76,2294.76,2544.76,2294.76,2294.76,2294.76,2294.76,2544.76,2294.76,2294.76,2294.76,2544.76,2294.76,2294.76,2294.76,2294.76,2294.76,2544.76,2294.76,2294.76,2294.76,2294.76,2294.76,2544.76,2294.76,2544.76,2294.76,2544.76,2294.76,2294.76,2544.76,2544.76,2544.76,2294.76,2294.76,2294.76,2294.76,2294.76,2294.76,2294.76,2294.76,2294.76,2294.76,2294.76,2544.76,2294.76,2294.76,2294.76,2294.76,2294.76,2294.76,2294.76,2294.76,2294.76,2294.76,2294.76,2294.76,2294.76,2294.76,3044.76,2294.76,2294.76,2294.76,2294.76,2294.76,2294.76,2294.76,2294.76,2294.76,2294.76,2294.76,2294.76,2294.76,2294.76,2294.76,2294.76,2294.76,2294.76,2294.76,2294.76,2294.76,2294.76,2294.76,2294.76,2294.76,2294.76,2294.76,2294.76,2544.76,2294.76,2294.76,2294.76,2544.76,2544.76,2294.76,2294.76,2544.76,2544.76,2294.76,2294.76,2544.76,2544.76,2294.76,2294.76,2294.76,2294.76,2294.76,2294.76,2294.76,2544.76,2294.76,2294.76,3054.76,3054.76
7,2290.0,2290.0,2540.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2540.0,2290.0,2290.0,2290.0,2540.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2540.0,2290.0,2290.0,2290.0,2540.0,2290.0,2290.0,2290.0,2290.0,2540.0,2290.0,2290.0,2290.0,2540.0,2290.0,2290.0,2290.0,2290.0,2290.0,2540.0,2290.0,2290.0,2290.0,2290.0,2290.0,2540.0,2290.0,2540.0,2290.0,2540.0,2290.0,2290.0,2540.0,2540.0,2540.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2540.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2540.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,3040.0,2290.0,2290.0,2290.0,2540.0,2540.0,2290.0,2290.0,2540.0,2540.0,2290.0,2290.0,2540.0,2540.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2290.0,2540.0,2290.0,2290.0,3050.0,3050.0
8,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1500.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1500.0,1500.0,1500.0,1250.0,1250.0,1250.0,1750.0,1250.0,1500.0,1500.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1500.0,1250.0,1250.0,1250.0,1250.0,1500.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1500.0,1250.0,2010.0,2010.0
