
                      ;
            Název školy          ;
            Poskytování vzdělání          ;
            Volná místa          ;
            Průběžné výsledky          

            1          ;
            Mateřská škola Brno, Absolonova 20a, příspěvková organizace          ;
            Absolonova 20a
          ;
            16          ;
            Děti ze spádové oblasti:31
Podaných žádostí:68
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            2          ;
            Mateřská škola Brno, Amerlingova 4, příspěvková organizace          ;
            Amerlingova 4
          ;
            17          ;
            Děti ze spádové oblasti:43
Podaných žádostí:75
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            3          ;
            Základní škola a mateřská škola Brno, Antonínská 3, příspěvková organizace          ;
            Bayerova 5/575
          ;
            7          ;
            Děti ze spádové oblasti:26
Podaných žádostí:117
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            4          ;
            Mateřská škola Brno, Bellova 2, příspěvková organizace          ;
            Bellova 2
          ;
            28          ;
            Děti ze spádové oblasti:17
Podaných žádostí:74
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            5          ;
            Mateřská škola Pohádka, Brno, Běloruská 4, příspěvková organizace          ;
            Běloruská 4/570
          ;
            16          ;
            Děti ze spádové oblasti:31
Podaných žádostí:98
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            6          ;
            Mateřská škola Brno, Bieblova 16, příspěvková organizace          ;
            Bieblova 16
          ;
            30          ;
            Děti ze spádové oblasti:57
Podaných žádostí:99
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            7          ;
            Mateřská škola Brno, Bílého 24, příspěvková organizace          ;
            Bílého 24
          ;
            15          ;
            Děti ze spádové oblasti:24
Podaných žádostí:53
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            8          ;
            Základní škola a mateřská škola Brno, Blanenská 1, přísp.org.          ;
            Blanenská 1
          ;
            16          ;
            Děti ze spádové oblasti:10
Podaných žádostí:29
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            9          ;
            Základní škola a Mateřská škola Brno, Blažkova 9, příspěvková organizace          ;
            Nejedlého 13
          ;
            19          ;
            Děti ze spádové oblasti:23
Podaných žádostí:62
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            10          ;
            Mateřská škola Sněhurka, Bořetická 26, Brno, příspěvková organizace          ;
            Bořetická 26
          ;
            11          ;
            Děti ze spádové oblasti:23
Podaných žádostí:63
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            11          ;
            Mateřská škola Bořetická 7, Brno, příspěvková organizace          ;
            Bořetická 7
          ;
            21          ;
            Děti ze spádové oblasti:31
Podaných žádostí:86
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            12          ;
            Mateřská škola,Brno, Bosonožská 4          ;
            Bosonožská 4
          ;
            32          ;
            Děti ze spádové oblasti:26
Podaných žádostí:60
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            13          ;
            Základní škola a Mateřská škola Brno, Bosonožské nám 44, příspěvková organizace          ;
            Konopiska 6
          ;
            23          ;
            Děti ze spádové oblasti:23
Podaných žádostí:38
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            14          ;
            Mateřská škola, Brno, Božetěchova 65, přísp.org.          ;
            Božetěchova 65
          ;
            15          ;
            Děti ze spádové oblasti:48
Podaných žádostí:89
Přijatých žáků:6
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            15          ;
            Mateřská škola POHÁDKA, Brno, Bratří Pelíšků 7, příspěvková organizace          ;
            Bratří Pelíšků 7
Holzova 1
Šimáčkova 1/235
          ;
            40          ;
            Děti ze spádové oblasti:49
Podaných žádostí:87
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            16          ;
            Mateřská škola Brno, Brechtova 6, příspěvková organizace          ;
            Brechtova 6
          ;
            18          ;
            Děti ze spádové oblasti:39
Podaných žádostí:49
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            17          ;
            Mateřská škola, Brno, Bulharská 62,příspěvková organizace          ;
            Bulharská 62
          ;
            21          ;
            Děti ze spádové oblasti:34
Podaných žádostí:99
Přijatých žáků:7
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            18          ;
            Mateřská škola Brno,Černopolní 3a,příspěvková organizace          ;
            Černopolní 3a
          ;
            20          ;
            Děti ze spádové oblasti:38
Podaných žádostí:72
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            19          ;
            Základní škola a Mateřská škola Brno, Chalabalova 2, příspěvková organizace          ;
            Chalabalova 2
Libušina tř. 15
          ;
            30          ;
            Děti ze spádové oblasti:41
Podaných žádostí:53
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            20          ;
            Mateřská škola, Brno, Chodská 15, příspěvková organizace          ;
            Chodská 15
          ;
            29          ;
            Děti ze spádové oblasti:15
Podaných žádostí:125
Přijatých žáků:12
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            21          ;
            Mateřská škola, Brno, Chodská 5, příspěvková organizace          ;
            Chodská 491/5
          ;
            28          ;
            Děti ze spádové oblasti:25
Podaných žádostí:156
Přijatých žáků:10
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            22          ;
            Mateřská škola Brno, Cihelní 1a, příspěvková organizace          ;
            Cihelní 1a/560
          ;
            28          ;
            Děti ze spádové oblasti:48
Podaných žádostí:66
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            23          ;
            Mateřská škola Kamarád, Brno, Čtvrtě 3, příspěvková organizace           ;
            Čtvrtě 3
          ;
            30          ;
            Děti ze spádové oblasti:21
Podaných žádostí:71
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            24          ;
            Mateřská škola, Brno, Dobrovského 66, příspěvková organizace          ;
            Dobrovského 66
          ;
            13          ;
            Děti ze spádové oblasti:13
Podaných žádostí:146
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            25          ;
            Mateřská škola Žabka, Brno, příspěvková organizace          ;
            Drdy 25
          ;
            76          ;
            Děti ze spádové oblasti:97
Podaných žádostí:137
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            26          ;
            Mateřská škola Oříšek Brno, Drozdí 210/2c, příspěvková organizace          ;
            Drozdí 210/2c
          ;
            5          ;
            Děti ze spádové oblasti:4
Podaných žádostí:7
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            27          ;
            Mateřská škola Brno, Dubová 2, příspěvková organizace          ;
            Dubová 2
          ;
            38          ;
            Děti ze spádové oblasti:55
Podaných žádostí:57
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            28          ;
            Základní škola a Mateřská škola, Brno, Elišky Přemyslovny 10, příspěvková organizace          ;
            E. Přemyslovny 10
          ;
            12          ;
            Děti ze spádové oblasti:19
Podaných žádostí:54
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            29          ;
            Mateřská škola, Brno, Elišky Krásnohorské 15,příspěvková organizace          ;
            Elišky Krásnohorské 15
          ;
            25          ;
            Děti ze spádové oblasti:20
Podaných žádostí:75
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            30          ;
            Mateřská škola, Brno, Fanderlíkova 9a, příspěvková organizace          ;
            Fanderlíkova 9a
          ;
            19          ;
            Děti ze spádové oblasti:22
Podaných žádostí:63
Přijatých žáků:0
Nepřijatých žáků:0
